,Company_link,company_name,flag
992,/company/COSMOFIRST,COSMOFIRST,1
995,/company/CCHHL,CCHHL,1
996,/company/COUNCODOS,COUNCODOS,1
999,/company/CPS,CPS,1
1000,/company/CRAFTSMAN,CRAFTSMAN,1
1002,/company/CRANESSOFT,CRANESSOFT,1
1005,/company/CRAYONS,CRAYONS,1
1007,/company/CREATIVEYE,CREATIVEYE,1
1009,/company/CREATIVE,CREATIVE,1
1011,/company/CREDITACC,CREDITACC,1
1016,/company/CREST,CREST,1
1019,/company/CRISIL,CRISIL,1
1021,/company/CROMPTON,CROMPTON,1
1022,/company/CLSL,CLSL,1
1025,/company/CROWN,CROWN,1
1029,/company/CSBBANK,CSBBANK,1
1030,/company/CSLFINANCE,CSLFINANCE,1
1031,/company/CUBEXTUB,CUBEXTUB,1
1032,/company/CUMMINSIND,CUMMINSIND,1
1033,/company/CUPID,CUPID,1
1038,/company/CYBERMEDIA,CYBERMEDIA,1
1039,/company/CMRSL,CMRSL,1
1040,/company/CYBERTECH,CYBERTECH,1
1042,/company/CYIENTDLM,CYIENTDLM,1
1043,/company/CYIENT,CYIENT,1
1045,/company/DLINKINDIA,DLINKINDIA,1
1046,/company/DBCORP,DBCORP,1
1047,/company/DPABHUSHAN,DPABHUSHAN,1
1048,/company/DPWIRES,DPWIRES,1
1050,/company/DABUR,DABUR,1
1051,/company/DAICHIKARK,DAICHIKARK,1
1054,/company/DALBHARAT,DALBHARAT,1
1055,/company/DALMIASUG,DALMIASUG,1
1057,/company/DAMODARIND,DAMODARIND,1
1059,/company/DANGEE,DANGEE,1
1068,/company/DATAPATTNS,DATAPATTNS,1
1069,/company/DATAMATICS,DATAMATICS,1
1077,/company/DBSTOCKBRO,DBSTOCKBRO,1
1078,/company/DBREALTY,DBREALTY,1
1079,/company/DCI,DCI,1
1080,/company/DCBBANK,DCBBANK,1
1081,/company/DCMFINSERV,DCMFINSERV,1
1082,/company/DCM,DCM,1
1083,/company/DCMNVL,DCMNVL,1
1084,/company/DCMSRIND,DCMSRIND,1
1085,/company/DCMSHRIRAM,DCMSHRIRAM,1
1086,/company/DCW,DCW,1
1087,/company/DCXINDIA,DCXINDIA,1
1090,/company/DENEERS,DENEERS,1
1091,/company/DENORA,DENORA,1
1092,/company/DIL,DIL,1
1094,/company/DECCANCE,DECCANCE,1
1106,/company/DEEPENR,DEEPENR,1
1107,/company/DEEPINDS,DEEPINDS,1
1110,/company/DEEPAKFERT,DEEPAKFERT,1
1112,/company/DEEPAKNTR,DEEPAKNTR,1
1113,/company/DEEPAKSPIN,DEEPAKSPIN,1
1118,/company/DELHIVERY,DELHIVERY,1
1119,/company/DELPHIFX,DELPHIFX,1
1121,/company/DELTACORP,DELTACORP,1
1123,/company/DELTAMAGNT,DELTAMAGNT,1
1125,/company/DEN,DEN,1
1131,/company/DESTINY,DESTINY,1
1133,/company/DEVIT,DEVIT,1
1138,/company/DEVYANI,DEVYANI,1
1143,/company/DBOL,DBOL,1
1144,/company/DHAMPURSUG,DHAMPURSUG,1
1149,/company/DHANI,DHANI,1
1150,/company/DHANBANK,DHANBANK,1
1153,/company/DHANUKA,DHANUKA,1
1154,/company/DRL,DRL,1
1158,/company/DHARSUGAR,DHARSUGAR,1
1159,/company/DHARMAJ,DHARMAJ,1
1168,/company/DHRUV,DHRUV,1
1171,/company/DHUNINV,DHUNINV,1
1172,/company/DTIL,DTIL,1
1173,/company/DVL,DVL,1
1176,/company/DIAMINESQ,DIAMINESQ,1
1177,/company/DIACABS,DIACABS,1
1180,/company/DICIND,DICIND,1
1182,/company/DGCONTENT,DGCONTENT,1
1183,/company/DIGIKORE,DIGIKORE,1
1184,/company/DIGISPICE,DIGISPICE,1
1185,/company/DIGJAMLMTD,DIGJAMLMTD,1
1190,/company/DNAMEDIA,DNAMEDIA,1
1191,/company/DBL,DBL,1
1192,/company/DEPL,DEPL,1
1194,/company/GEORGFISCH,GEORGFISCH,1
1195,/company/DISHTV,DISHTV,1
1197,/company/DCAL,DCAL,1
1199,/company/DIVGIITTS,DIVGIITTS,1
1200,/company/DIVISLAB,DIVISLAB,1
1204,/company/DIXON,DIXON,1
1205,/company/DJML,DJML,1
1206,/company/DKEGL,DKEGL,1
1207,/company/DLF,DLF,1
1209,/company/DMCC,DMCC,1
1212,/company/DODLA,DODLA,1
1213,/company/DOLATALGO,DOLATALGO,1
1215,/company/DOLLAR,DOLLAR,1
1216,/company/DOLLEX,DOLLEX,1
1218,/company/DOLPHIN,DOLPHIN,1
1219,/company/DONEAR,DONEAR,1
1223,/company/LALPATHLAB,LALPATHLAB,1
1224,/company/DRREDDY,DRREDDY,1
1226,/company/DRCSYSTEMS,DRCSYSTEMS,1
1228,/company/DREAMFOLKS,DREAMFOLKS,1
1229,/company/DREDGECORP,DREDGECORP,1
1230,/company/DRONE,DRONE,1
1232,/company/KEEPLEARN,KEEPLEARN,1
1234,/company/DUGLOBAL,DUGLOBAL,1
1235,/company/DUCOL,DUCOL,1
1236,/company/DUCON,DUCON,1
1250,/company/DWARKESH,DWARKESH,1
1251,/company/DSSL,DSSL,1
1252,/company/DYNAMATECH,DYNAMATECH,1
1254,/company/DYCL,DYCL,1
1257,/company/DYNAMIC,DYNAMIC,1
1259,/company/DYNPRO,DYNPRO,1
1260,/company/ELAND,ELAND,1
1261,/company/EIDPARRY,EIDPARRY,1
1262,/company/E2E,E2E,1
1270,/company/ESTCSTSTEL,ESTCSTSTEL,1
1275,/company/EASTSILK,EASTSILK,1
1280,/company/EASEMYTRIP,EASEMYTRIP,1
1282,/company/ECLERX,ECLERX,1
1286,/company/WESTERNBIO,WESTERNBIO,1
1291,/company/EDELWEISS,EDELWEISS,1
1292,/company/EDUCOMP,EDUCOMP,1
1296,/company/EICHERMOT,EICHERMOT,1
1298,/company/EIHAHOTELS,EIHAHOTELS,1
1299,/company/EIHOTEL,EIHOTEL,1
1301,/company/EIMCOELECO,EIMCOELECO,1
1307,/company/ELFORGE,ELFORGE,1
1309,/company/DRBECK,DRBECK,1
1311,/company/ELDEHSG,ELDEHSG,1
1312,/company/ELECON,ELECON,1
1319,/company/EMIL,EMIL,1
1320,/company/ELECTCAST,ELECTCAST,1
1321,/company/ELECTHERM,ELECTHERM,1
1324,/company/ELGIEQUIP,ELGIEQUIP,1
1325,/company/ELGIRUBCO,ELGIRUBCO,1
1326,/company/ELIN,ELIN,1
1329,/company/ELNET,ELNET,1
1330,/company/ELPROINTL,ELPROINTL,1
1333,/company/EMAMILTD,EMAMILTD,1
1334,/company/EMAMIPAP,EMAMIPAP,1
1335,/company/EMAMIREAL,EMAMIREAL,1
1342,/company/EMKAY,EMKAY,1
1343,/company/EMKAYTOOLS,EMKAYTOOLS,1
1344,/company/EMMBI,EMMBI,1
1348,/company/EMSLIMITED,EMSLIMITED,1
1349,/company/EMUDHRA,EMUDHRA,1
1355,/company/ENDURANCE,ENDURANCE,1
